Rank,Player,Signed Age,Yrs,Value,AAV,Sign Bonus,Season,Position
1,Andrea Bargnani,24,5,50000000,10000000,0-,2010,C
2,Kendrick Perkins,25,5,39252656,7850531,0-,2010,C
3,Amir Johnson,22,5,30000000,6000000,0-,2010,C
4,Samardo Samuels,20,3,23000000,7666667,0-,2010,C
5,Mehmet Okur,-,2,20800000,10400000,0-,2010,C
6,Derrick Favors,18,4,19338156,4834539,0-,2010,C
7,Joel Anthony,27,5,18250000,3650000,0-,2010,C
8,Marcus Camby,35,2,17709750,8854875,0-,2010,C
9,DeMarcus Cousins,19,4,15800133,3950033,0-,2010,C
10,Brad Miller,0,3,15000000,5000000,0-,2010,C
11,Brendan Haywood,30,2,14524500,7262250,0-,2010,C
12,Ekpe Udoh,22,4,14354428,3588607,0-,2010,C
13,Matt Bonner,30,4,13890000,3472500,0-,2010,C
14,Greg Monroe,19,4,13110094,3277524,0-,2010,C
15,Nikola Pekovic,24,3,12960000,4320000,0-,2010,C
16,Jermaine O,31,2,11991000,5995500,0-,2010,C
17,Timofey Mozgov,23,3,10051421,3350474,0-,2010,C
18,Johan Petro,24,3,10000000,3333333,0-,2010,C
19,Ed Davis,20,4,9343100,2335775,0-,2010,C
20,Larry Sanders,21,4,8639008,2159752,0-,2010,C
21,Cole Aldrich,21,3,6858000,2286000,0-,2010,C
22,Ben Wallace,-,2,4320000,2160000,0-,2010,C
23,Omer Asik,23,2,3578500,1789250,0-,2010,C
24,Zydrunas Ilgauskas,-,2,2751688,1375844,0-,2010,C
24,Shaquille O,37,2,2751688,1375844,0-,2010,C
26,Aaron Gray,25,2,2187075,1093538,0-,2010,C
27,Daniel Orton,19,2,2125920,1062960,0-,2010,C
28,Dexter Pittman,22,3,2090188,696729,0-,2010,C
29,Ian Mahinmi,23,2,1646488,823244,0-,2010,C
30,Solomon Alabi,22,2,1600000,800000,0-,2010,C
31,Hassan Whiteside,20,2,1492632,746316,0-,2010,C
32,Hamady N,22,1,1437476,1437476,0-,2010,C
33,Jason Collins,22,1,1352181,1352181,0-,2010,C
33,Theo Ratliff,-,1,1352181,1352181,0-,2010,C
35,Magnum Rolle,24,2,1272195,636098,0-,2010,C
36,Garrett Siler,-,2,1262510,631255,0-,2010,C
37,Semih Erden,23,2,1262476,631238,0-,2010,C
38,Jamaal Magloire,-,1,1229255,1229255,0-,2010,C
38,Kwame Brown,28,1,1229255,1229255,0-,2010,C
40,Melvin Ely,34,1,1223166,1223166,0-,2010,C
40,Etan Thomas,-,1,1223166,1223166,0-,2010,C
42,Francisco Elson,-,1,1146337,1146337,0-,2010,C
43,Kyrylo Fesenko,23,1,1087500,1087500,0-,2010,C
44,Hilton Armstrong,25,1,992680,992680,0-,2010,C
45,Shelden Williams,0,1,915852,915852,0-,2010,C
46,Trent Plaisted,25,1,473604,473604,0-,2010,C
1,Nene Hilario,28,5,65000000,13000000,0-,2011,C
2,Al Horford,24,5,60000000,12000000,0-,2011,C
2,Joakim Noah,25,5,60000000,12000000,0-,2011,C
4,Marc Gasol,26,4,57503764,14375941,0-,2011,C
